"fecha","tmed","hrmed","NDVI_mean_6490927","Anomaly_6490927","NDVI_mean_6431327","Anomaly_6431327","NDVI_mean_6444852","Anomaly_6444852","NDVI_mean_6462152","Anomaly_6462152","NDVI_mean_6617939","Anomaly_6617939","NDVI_mean_6619213","Anomaly_6619213","NDVI_mean_6402165","Anomaly_6402165","NDVI_mean_6402166","Anomaly_6402166","NDVI_mean_6402168","Anomaly_6402168","NDVI_mean_6402171","Anomaly_6402171","NDVI_mean_6402172","Anomaly_6402172","NDVI_mean_6402214","Anomaly_6402214","NDVI_mean_6482477","Anomaly_6482477","NDVI_mean_6524125","Anomaly_6524125","NDVI_mean_6400989","Anomaly_6400989","NDVI_mean_6400993","Anomaly_6400993","NDVI_mean_6400994","Anomaly_6400994","NDVI_mean_6400997","Anomaly_6400997","NDVI_mean_6401005","Anomaly_6401005","NDVI_mean_6466802","Anomaly_6466802","NDVI_mean_6496354","Anomaly_6496354","NDVI_mean_6525295","Anomaly_6525295","NDVI_mean_6401855","Anomaly_6401855","anomaliesAgg","anomaliesAgg2"
2018-07-20,27.0333333333333,58,NA,NA,0.0386893935501575,1,NA,NA,0.199083417654037,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122819671407342,1,NA,NA,0.178777623921633,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.173913043478261,1
2018-07-30,27.1916666666667,55.7083333333333,NA,NA,0.422763518989086,0,NA,NA,0.249543413519859,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.235313908755779,0,NA,NA,0.43195087959369,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206511281430721,0,NA,NA,NA,NA,0,0
2018-08-04,28.3791666666667,47.5666666666667,NA,NA,0.350174799561501,0,NA,NA,0.270325198769569,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218558988720179,1,NA,NA,0.350229154030482,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144411042332649,0,NA,NA,NA,NA,0.0434782608695652,0.2
2018-08-09,27.4625,68.8625,NA,NA,0.356990728527308,0,NA,NA,0.251402042806149,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133305853232741,1,NA,NA,0.0873655024915934,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.141351293772459,0,NA,NA,NA,NA,0.0869565217391304,0.4
2018-08-14,27.05,73.2916666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216488771885633,1,NA,NA,0.36632460852464,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434782608695652,0.5
2018-08-19,25.1625,70.6666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-08-24,27.7791666666667,44.075,NA,NA,0.461960636079311,0,NA,NA,0.288694120943546,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24748075902462,0,NA,NA,0.445011312762896,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150629162788391,0,NA,NA,NA,NA,0,0
2018-08-29,25.9458333333333,68.6875,NA,NA,0.406816501170397,0,NA,NA,0.321195535361767,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252979297935963,0,NA,NA,0.39748648305734,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.200251091271639,0,NA,NA,NA,NA,0,0
2018-09-03,25.9458333333333,75.0791666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
2018-09-08,22.0875,80.6625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
