Explotacion;Localidad;Punto servicio;Contrato;Cliente;NIF/NIE;Estado;Fecha Estado;Fec. Caducidad;T. Gestion Deuda;Compl. Direccion;Categoria;Tipo contrato
EMUASA-MURCIA;MURCIA;ARTURO PEREZ REVERTE SN C-9-JA-1;6.384.426;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;MURCIA;AV.PALMAR SN C-1-JA-2;6.384.511;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SANGONERA LA VERDE;CN.PALMERAL SN C-4-JA;6.386.652;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;EL PALMAR;AV.MERCAMURCIA SN C-7-JA-1;6.386.662;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT;LEVANTE;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;EL PALMAR;AV.MERCAMURCIA SN C-8-JA-2;6.386.663;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT;LEVANTE;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SANGONERA LA VERDE;AV.CONSTITUCION SN C-1-JA;6.386.729;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;EL PALMAR;PL.IGLESIA SN C-2-JA-1;6.389.841;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;EL PALMAR;SAGRADO CORAZON SN C-2-JA;6.390.075;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LA ALBERCA;GARCIA CANALES SN C-1-JA;6.391.847;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LA ALBERCA;ALMENDROS SN C-1-JA;6.391.856;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SANTO ANGEL;CRESTA DEL GALLO SN C-1-JA;6.392.760;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT;COPROMUR I;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;ALGEZARES;PL.CANALEJAS SN C-1-JA;6.393.621;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;ALGEZARES;PL.JUAN XXIII SN C-1-JA;6.393.626;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;ALGEZARES;CN.TERRERAS SN C-2-JA;6.393.645;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;ALGEZARES;SANTUARIO DE LA FUENSANTA SN C-2-JA;6.393.703;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;GARRES Y LAGES;LEVANTE SN C-1-JA;6.394.348;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;BENIAJAN;ESCUELAS (BOJAL) SN C-1-JA;6.396.185;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SAN JOSE DE LA VEGA;SEBASTIAN GALVEZ ARCE SN C-1-JA;6.396.198;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SAN JOSE DE LA VEGA;VICTORIA SN C-1-JA;6.396.344;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;BENIAJAN;ANTONIA MAYMON SN-JA;6.396.364;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT;MAR MENOR;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;TORREAGÜERA;MAYOR SN C-1-JA;6.397.696;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;TORREAGÜERA;AV.SAN JAVIER SN C-3-JA-3;6.397.734;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;TORREAGÜERA;SANTO DOMINGO SN C-2-JA;6.397.830;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOS RAMOS;AV.MURCIA SN C-2-JA-1;6.398.496;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;BARQUEROS;MAYOR SN C-1-JA;6.400.127;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;SUCINA;PATRONA SN C-2-JA;6.400.489;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;JERONIMO Y AVILESES;PZA PERUCHOS SN C-1-JA;6.400.759;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOS MARTINEZ DEL PUERTO;CERVANTES SN C-1-JA;6.400.989;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOS MARTINEZ DEL PUERTO;PS.DE LAS MARAVILLAS SN C-1-JA;6.400.993;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOS MARTINEZ DEL PUERTO;AV.JUAN CARLOS I SN M-2-JA;6.400.994;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT;JARDIN;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOS MARTINEZ DEL PUERTO;CERVANTES SN C-2-JA;6.400.997;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOS MARTINEZ DEL PUERTO;PL.LOS ANGELES SN C-1-JA;6.401.005;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;VALLADOLISES Y LO JURADO;PL.TIERNO GALVAN SN C-1-JA;6.401.855;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;VALLADOLISES Y LO JURADO;CN.ARCOS SN C-1-JA;6.401.861;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;VIRGEN DE LA FUENSANTA SN C-1-JA-1;6.402.165;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;JOSE BALSALOBRE SN C-1-JA;6.402.166;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;PL.CONSEJO REGIONAL MURCIANO SN C-1-JA;6.402.168;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;PL.AGUSTIN GONZALEZ SN C-1-JA;6.402.170;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;VIRGEN DE LA FUENSANTA SN C-2-JA-2;6.402.171;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;VIRGEN DE LA FUENSANTA SN C-3-JA-3;6.402.172;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;PL.JUAN PABLO II SN C-1-JA;6.402.173;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;CN.PARAJE ERMITA LOS RIOS 3-JA;6.402.174;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
EMUASA-MURCIA;LOBOSILLO;RIO GUADIANA SN C-1-JA;6.402.214;AYUNTAMIENTO DE MURCIA;P3003000A;ALTA;01/01/1940; ;AYT; ;Municipal;ALTA AYUNTAMIENTO LOCALES
