OBJECTID,ZR_ID,ZR_ARTIFIC,ZR_NOMBRE,ZR_SUPERFI,ZR_COMENTA,ZR_FIABILI,ZR_NUM_EXP,DOC_ADJ,N_tx,ID_EXPLOTA,OBJECTID2,USU_ALTA,FEC_ALTA,USU_MODIF,FEC_MODIF,IDPART,CAPA_CAD,Emu_OBJECT,CT_ID,CT_INSTAL,CT_CATEG,GNR_NUM1,GNR_NUM2,GNR_NUM3,GNR_TXT1,GNR_TXT2,GNR_TXT3,COD_MUNI,COD_SIT,ZR_ID_SUMI,ZR_COD_LOC,ZR_SUMINIS,AGIS_Etiqu,ID_AGIS,ID_GA,FEC_RECEP,SHAPE_STAr,SHAPE_STLe,Poligonos
"45",AB014,,,388.93231201000,,,,N,"2","0","62",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"62",ASIGNAR RANACO,"62","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,388.93164062500,92.54592638720,"1"
"46",AB014,,,169.93609619000,,,,N,"2","0","63",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"63",ASIGNAR RANACO,"63","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,169.93530273400,56.48016446240,"1"
"47",AB014,,,237.53909301000,,,,N,"2","0","64",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"64",ASIGNAR RANACO,"64","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,237.53881835900,62.86133703400,"1"
"48",AB014,,,341.83804321000,,,,N,"2","0","65",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"65",ASIGNAR RANACO,"65","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,341.83837890600,71.49029339330,"1"
"49",AB014,,,357.62124633000,,,,N,"2","0","66",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"66",ASIGNAR RANACO,"66","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,357.53295898400,96.27536489050,"1"
"50",AB020,,,358.74499511000,,,,N,"2","0","68",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"68",ASIGNAR RANACO,"68","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,358.74536132800,94.15599133060,"1"
"51",AB020,,,433.04244995000,,,,N,"2","0","69",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"69",ASIGNAR RANACO,"69","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,433.04321289100,88.89375740920,"1"
"52",AB020,,,630.36218261000,,,,N,"2","0","70",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"70",ASIGNAR RANACO,"70","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,630.36108398400,100.67904817200,"1"
"53",,,,228.47059631000,,,,N,"2","0","71",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"71",ASIGNAR RANACO,"71","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,220.19775390600,64.56836221950,"1"
"54",,,,208.41685485000,,,,N,"2","0","72",Admin,20100611120000.00000000000,fegea,20170504143200.00000000000,"72",ASIGNAR RANACO,"72","0","0",,0.00000000000,0.00000000000,0.00000000000,POTABLE,,,,,,"0",,,,,0.00000000000,224.30273437500,64.83109478490,"1"
